element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
simple_dermal,model,,,rdf,BQB_HAS_PROPERTY,https://identifiers.org/CHEBI:24431,
simple_dermal,model,,,rdf,BQB_HAS_TAXON,https://identifiers.org/taxonomy/40674,
Skin,compartment,skin,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00470,
Blood,compartment,blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Liver,compartment,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/UBERON_0002107,
Rest,compartment,rest-of-body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Urine,compartment,urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
Urine,compartment,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/UBERON_0001088,
ASkin,species,amount of chemical in skin,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00506,
ASkin,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
ABlood,species,amount of chemical in blood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
ALiver,species,amount of chemical in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
ARest,species,amount of chemical in rest-of-body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
AUrine,species,amount of chemical in urine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
AUrine,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BSA,parameter,body surface area,dm2,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00010,
VBody,parameter,total body density,L/kg,rdf,BQM_IS,,
VBc,parameter,blood as fraction of total bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00107,
VLc,parameter,liver as fraction of total bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
FSkinExposed,parameter,fraction of skin exposed,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00061,
SkinThickness,parameter,skin thickness,dm,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00635,
QCC,parameter,cardiac output as function of body weight,L/h/kg^0.75,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QRc,parameter,fraction of blood flow to rest-of-body,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00051,
QLc,parameter,fraction of blood flow to liver,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00025,
QSkc,parameter,fraction of blood flow to skin,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00037,
PCLiver,parameter,partition coefficient liver:blood,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00577,
PCLiver,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
PCRest,parameter,partition coefficient rest:blood,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00585,
PCRest,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
PCSkin,parameter,partition coefficient skin:blood,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00588,
PCSkin,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
CLUrine,parameter,urinary excretion rate,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00534,
CLUrine,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_24431,
QC,parameter,cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00012,
QL,parameter,blood flow to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QR,parameter,blood flow to rest-of-body,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00050,
QSk,parameter,blood flow to skin,L/h,rdf,BQM_IS,,
